Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 87.15    397.98   397.98   100000     3.98     4.55  knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)
  3.39    413.47    15.49 720174764     0.00     0.00  knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}::operator()(int, int) const
  2.56    425.14    11.67   100000     0.12     0.12  void std::iota<int*, int>(int*, int*, int)
  1.91    433.86     8.72 713250144     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}>::operator()<int*, int*>(int*, int*)
  1.78    441.99     8.13 705032704     0.00     0.00  std::vector<double, std::allocator<double> >::data() const
  1.71    449.78     7.79   100000     0.08     0.33  void std::__heap_select<int*, __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}> >(int*, int*, int*, __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}>)
  0.99    454.30     4.52 705232705     0.00     0.00  double* std::vector<double, std::allocator<double> >::_M_data_ptr<double>(double*) const
  0.19    455.19     0.89  5103320     0.00     0.00  void std::__pop_heap<int*, __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}> >(int*, int*, int*, __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}>&)
  0.19    456.05     0.85        5   171.00   171.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.02    456.15     0.11  5303320     0.00     0.00  void std::__adjust_heap<int*, long, int, __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}> >(int*, long, long, int, __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}>)
  0.02    456.25     0.09   100000     0.00     0.00  nb_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, int)
  0.01    456.31     0.06  5303320     0.00     0.00  void std::__push_heap<int*, long, int, __gnu_cxx::__ops::_Iter_comp_val<knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}> >(int*, long, long, int, __gnu_cxx::__ops::_Iter_comp_val<knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}>&)
  0.01    456.36     0.06        3    18.33    18.33  std::vector<double, std::allocator<double> >::_M_default_initialize(unsigned long)
  0.01    456.41     0.05   140000     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.01    456.44     0.03   100000     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}> __gnu_cxx::__ops::__iter_comp_iter<knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}>(knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1})
  0.01    456.46     0.03  1050103     0.00     0.00  void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&)
  0.01    456.49     0.03                             main
  0.00    456.51     0.02  6924620     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_val<knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}>::operator()<int*, int>(int*, int&)
  0.00    456.53     0.02  5503320     0.00     0.00  std::remove_reference<knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}&>::type&& std::move<knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}&>(knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}&)
  0.00    456.55     0.02  5303320     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_val<knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}>::_Iter_comp_val(__gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}>&&)
  0.00    456.57     0.02   100000     0.00     0.00  lr_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, double, int)
