Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 85.70     68.81    68.81     5000    13.76    14.37  knn_distances_tiled(double const*, double const*, double*, int, int, int)
  3.80     71.86     3.05     5007     0.61     0.61  __gnu_cxx::__enable_if<std::__is_scalar<double>::__value, void>::__type std::__fill_a1<double*, double>(double*, double*, double const&)
  3.31     74.53     2.66 1003028412     0.00     0.00  knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}::operator()(int, int) const
  2.96     76.91     2.38    20000     0.12     0.12  void std::iota<int*, int>(int*, int*, int)
  2.23     78.69     1.79 1001643488     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}>::operator()<int*, int*>(int*, int*)
  1.49     79.89     1.20    20000     0.06     0.29  void std::__heap_select<int*, __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}> >(int*, int*, int*, __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}>)
  0.24     80.08     0.19    20000     0.01     0.01  void std::__make_heap<int*, __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}> >(int*, int*, __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}>&)
  0.17     80.22     0.14    20000     0.01     0.42  knn_predict_proba(double const*, int*, int const*, int, int)
  0.03     80.25     0.03  1060664     0.00     0.00  void std::__adjust_heap<int*, long, int, __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}> >(int*, long, long, int, __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}>)
  0.02     80.27     0.02  1060664     0.00     0.00  void std::__push_heap<int*, long, int, __gnu_cxx::__ops::_Iter_comp_val<knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}> >(int*, long, long, int, __gnu_cxx::__ops::_Iter_comp_val<knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}>&)
  0.01     80.28     0.01  1060664     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_val<knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}>::_Iter_comp_val(__gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}>&&)
  0.01     80.28     0.01    20000     0.00     0.30  void std::partial_sort<int*, knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}>(int*, int*, int*, knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1})
  0.01     80.30     0.01        6     1.67     2.14  load_text_matrix(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int, int)
  0.01     80.30     0.01  1020664     0.00     0.00  void std::__pop_heap<int*, __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}> >(int*, int*, int*, __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}>&)
  0.00     80.30     0.00  7600178     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00     80.30     0.00  2000230     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  0.00     80.30     0.00  1384924     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_val<knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}>::operator()<int*, int>(int*, int&)
  0.00     80.30     0.00  1100664     0.00     0.00  std::remove_reference<knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}&>::type&& std::move<knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}&>(knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}&)
  0.00     80.30     0.00  1060664     0.00     0.00  std::remove_reference<__gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}>&>::type&& std::move<__gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}>&>(__gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}>&)
